Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
463,1,1,1,32,211,1,7,710,1.949e-11,0.39400759999999996,0.0014,0.0014,0.0014,0.027743800000000002,0.17985800000000002,0.0014,1.74e-05,1.464e-02,2.119e-09
1,1,330,1,4,1,372,7,710,1.949e-11,0.0014,0.0014,0.2809842,0.0014,0.0039494,0.0014,0.3166758,1.74e-05,1.404e-02,2.193e-09
1,10,1,141,1,1,555,7,710,1.949e-11,0.0014,0.0090482,0.0014,0.120372,0.0014,0.0014,0.4721892,1.74e-05,1.306e-02,2.293e-09
664,1,1,30,12,1,1,7,710,1.949e-11,0.5648174,0.0014,0.0014,0.0260442,0.0107478,0.0014,0.0014,1.74e-05,1.329e-02,2.207e-09
1,412,1,48,246,1,1,7,710,1.949e-11,0.0014,0.35066780000000003,0.0014,0.041340600000000005,0.209601,0.0014,0.0014,1.74e-05,1.496e-02,2.118e-09
1,1,374,1,1,2,330,7,710,1.949e-11,0.0014,0.0014,0.3183754,0.0014,0.0014,0.0022498,0.2809842,1.74e-05,1.435e-02,2.192e-09
1,1,10,560,1,136,1,7,710,1.949e-11,0.0014,0.0014,0.0090482,0.4764382,0.0014,0.116123,0.0014,1.74e-05,1.421e-02,2.247e-09
16,1,1,484,1,206,1,7,710,1.949e-11,0.014147,0.0014,0.0014,0.4118534,0.0014,0.17560900000000002,0.0014,1.74e-05,1.478e-02,2.198e-09
1,500,1,1,1,15,191,7,710,1.949e-11,0.0014,0.4254502,0.0014,0.0014,0.0014,0.0132972,0.162862,1.74e-05,1.462e-02,2.172e-09
1,236,44,1,426,1,1,7,710,1.949e-11,0.0014,0.201103,0.0379414,0.0014,0.362565,0.0014,0.0014,1.74e-05,1.362e-02,2.131e-09
212,1,48,1,1,446,1,7,710,1.949e-11,0.1807078,0.0014,0.041340600000000005,0.0014,0.0014,0.379561,0.0014,1.74e-05,1.318e-02,2.161e-09
516,1,1,18,1,172,1,7,710,1.949e-11,0.43904699999999997,0.0014,0.0014,0.015846600000000002,0.0014,0.1467158,0.0014,1.74e-05,1.460e-02,2.136e-09
1,380,1,296,30,1,1,7,710,1.949e-11,0.0014,0.3234742,0.0014,0.252091,0.0260442,0.0014,0.0014,1.74e-05,1.507e-02,2.109e-09
