Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
258,166,13,1,1,1,6,440,6.13e-12,0.2197986,0.14161700000000002,0.0115976,0.0014,0.0014,0.0014,6.57e-06,7.441e-03,1.325e-09
64,150,1,1,1,223,6,440,6.13e-12,0.0549374,0.1280202,0.0014,0.0014,0.0014,0.1900556,6.57e-06,6.026e-03,1.359e-09
163,1,1,255,2,18,6,440,6.13e-12,0.1390676,0.0014,0.0014,0.2172492,0.0022498,0.015846600000000002,6.57e-06,6.614e-03,1.354e-09
1,1,263,154,2,19,6,440,6.13e-12,0.0014,0.0014,0.2240476,0.1314194,0.0022498,0.0166964,6.57e-06,7.481e-03,1.402e-09
38,396,3,1,1,1,6,440,6.13e-12,0.0328426,0.33707099999999995,0.0030995999999999997,0.0014,0.0014,0.0014,6.57e-06,6.451e-03,1.398e-09
199,125,1,1,1,113,6,440,6.13e-12,0.16966040000000002,0.10677520000000001,0.0014,0.0014,0.0014,0.0965776,6.57e-06,6.725e-03,1.318e-09
139,1,1,145,153,1,6,440,6.13e-12,0.11867240000000001,0.0014,0.0014,0.12377120000000001,0.1305696,0.0014,6.57e-06,6.803e-03,1.343e-09
114,2,303,1,1,19,6,440,6.13e-12,0.09742740000000001,0.0022498,0.2580396,0.0014,0.0014,0.0166964,6.57e-06,6.598e-03,1.366e-09
1,8,1,74,354,2,6,440,6.13e-12,0.0014,0.007348599999999999,0.0014,0.0634354,0.30137939999999996,0.0022498,6.57e-06,6.428e-03,1.473e-09
270,1,83,1,1,84,6,440,6.13e-12,0.2299962,0.0014,0.07108360000000001,0.0014,0.0014,0.07193340000000001,6.57e-06,6.793e-03,1.332e-09
156,1,1,113,168,1,6,440,6.13e-12,0.13311900000000002,0.0014,0.0014,0.0965776,0.1433166,0.0014,6.57e-06,6.708e-03,1.344e-09
1,14,276,147,1,1,6,440,6.13e-12,0.0014,0.0124474,0.235095,0.12547080000000002,0.0014,0.0014,6.57e-06,7.331e-03,1.399e-09
232,19,185,2,1,1,6,440,6.13e-12,0.1977038,0.0166964,0.15776320000000002,0.0022498,0.0014,0.0014,6.57e-06,7.116e-03,1.330e-09
1,1,74,1,263,100,6,440,6.13e-12,0.0014,0.0014,0.0634354,0.0014,0.2240476,0.08553020000000001,6.57e-06,7.083e-03,1.438e-09
221,1,1,7,2,208,6,440,6.13e-12,0.188356,0.0014,0.0014,0.006498799999999999,0.0022498,0.1773086,6.57e-06,6.200e-03,1.371e-09
168,2,1,1,252,16,6,440,6.13e-12,0.1433166,0.0022498,0.0014,0.0014,0.21469980000000002,0.014147,6.57e-06,6.372e-03,1.370e-09
280,1,61,1,96,1,6,440,6.13e-12,0.23849420000000002,0.0014,0.052388,0.0014,0.082131,0.0014,6.57e-06,7.008e-03,1.336e-09
18,2,36,1,1,382,6,440,6.13e-12,0.015846600000000002,0.0022498,0.031142999999999997,0.0014,0.0014,0.32517379999999996,6.57e-06,6.142e-03,1.521e-09
12,1,206,218,1,2,6,440,6.13e-12,0.0107478,0.0014,0.17560900000000002,0.18580660000000002,0.0014,0.0022498,6.57e-06,7.124e-03,1.393e-09
1,16,1,173,2,247,6,440,6.13e-12,0.0014,0.014147,0.0014,0.14756560000000002,0.0022498,0.21045080000000002,6.57e-06,6.663e-03,1.445e-09
1,1,255,2,5,176,6,440,6.13e-12,0.0014,0.0014,0.2172492,0.0022498,0.0047992,0.150115,6.57e-06,6.944e-03,1.422e-09
212,2,204,1,1,20,6,440,6.13e-12,0.1807078,0.0022498,0.17390940000000002,0.0014,0.0014,0.017546199999999998,6.57e-06,6.960e-03,1.325e-09
1,1,1,287,119,31,6,440,6.13e-12,0.0014,0.0014,0.0014,0.24444280000000002,0.1016764,0.026893999999999998,6.57e-06,7.523e-03,1.434e-09
8,1,10,2,418,1,6,440,6.13e-12,0.007348599999999999,0.0014,0.0090482,0.0022498,0.3557666,0.0014,6.57e-06,6.358e-03,1.544e-09
25,117,295,1,1,1,6,440,6.13e-12,0.021795199999999997,0.09997680000000002,0.2512412,0.0014,0.0014,0.0014,6.57e-06,6.621e-03,1.365e-09
172,198,1,67,1,1,6,440,6.13e-12,0.1467158,0.1688106,0.0014,0.0574868,0.0014,0.0014,6.57e-06,7.255e-03,1.311e-09
151,98,1,1,188,1,6,440,6.13e-12,0.12887,0.0838306,0.0014,0.0014,0.1603126,0.0014,6.57e-06,6.377e-03,1.330e-09
191,2,9,1,236,1,6,440,6.13e-12,0.162862,0.0022498,0.0081984,0.0014,0.201103,0.0014,6.57e-06,6.338e-03,1.365e-09
40,2,1,5,1,391,6,440,6.13e-12,0.0345422,0.0022498,0.0014,0.0047992,0.0014,0.332822,6.57e-06,6.110e-03,1.521e-09
1,405,1,26,6,1,6,440,6.13e-12,0.0014,0.3447192,0.0014,0.022645,0.0056489999999999995,0.0014,6.57e-06,6.683e-03,1.422e-09
1,143,1,123,171,1,6,440,6.13e-12,0.0014,0.1220716,0.0014,0.1050756,0.14586600000000002,0.0014,6.57e-06,6.921e-03,1.362e-09
2,21,228,187,1,1,6,440,6.13e-12,0.0022498,0.018396,0.1943046,0.15946280000000002,0.0014,0.0014,6.57e-06,7.232e-03,1.388e-09
8,1,2,279,149,1,6,440,6.13e-12,0.007348599999999999,0.0014,0.0022498,0.23764440000000003,0.12717040000000002,0.0014,6.57e-06,7.279e-03,1.436e-09
216,1,1,1,218,3,6,440,6.13e-12,0.184107,0.0014,0.0014,0.0014,0.18580660000000002,0.0030995999999999997,6.57e-06,6.486e-03,1.358e-09
1,1,226,58,1,153,6,440,6.13e-12,0.0014,0.0014,0.19260500000000003,0.049838600000000004,0.0014,0.1305696,6.57e-06,6.951e-03,1.396e-09
1,1,1,238,38,161,6,440,6.13e-12,0.0014,0.0014,0.0014,0.20280260000000003,0.0328426,0.137368,6.57e-06,7.183e-03,1.436e-09
1,198,106,1,1,133,6,440,6.13e-12,0.0014,0.1688106,0.090629,0.0014,0.0014,0.1135736,6.57e-06,6.710e-03,1.353e-09
1,188,12,1,1,237,6,440,6.13e-12,0.0014,0.1603126,0.0107478,0.0014,0.0014,0.2019528,6.57e-06,6.322e-03,1.403e-09
218,1,1,102,1,117,6,440,6.13e-12,0.18580660000000002,0.0014,0.0014,0.08722980000000001,0.0014,0.09997680000000002,6.57e-06,6.626e-03,1.343e-09
1,1,15,33,388,2,6,440,6.13e-12,0.0014,0.0014,0.0132972,0.0285936,0.33027259999999997,0.0022498,6.57e-06,6.383e-03,1.514e-09
1,1,214,35,1,188,6,440,6.13e-12,0.0014,0.0014,0.1824074,0.0302932,0.0014,0.1603126,6.57e-06,6.784e-03,1.410e-09
11,2,242,183,1,1,6,440,6.13e-12,0.009898,0.0022498,0.2062018,0.15606360000000002,0.0014,0.0014,6.57e-06,7.265e-03,1.390e-09
121,265,1,1,51,1,6,440,6.13e-12,0.10337600000000001,0.2257472,0.0014,0.0014,0.04389,0.0014,6.57e-06,6.865e-03,1.326e-09
1,362,1,1,1,74,6,440,6.13e-12,0.0014,0.3081778,0.0014,0.0014,0.0014,0.0634354,6.57e-06,6.954e-03,1.415e-09
389,5,42,1,1,2,6,440,6.13e-12,0.3311224,0.0047992,0.0362418,0.0014,0.0014,0.0022498,6.57e-06,6.819e-03,1.377e-09
1,1,297,136,1,4,6,440,6.13e-12,0.0014,0.0014,0.2529408,0.116123,0.0014,0.0039494,6.57e-06,7.373e-03,1.413e-09
307,17,1,112,1,2,6,440,6.13e-12,0.26143879999999997,0.014996800000000001,0.0014,0.0957278,0.0014,0.0022498,6.57e-06,7.140e-03,1.348e-09
2,31,403,1,1,2,6,440,6.13e-12,0.0022498,0.026893999999999998,0.3430196,0.0014,0.0014,0.0022498,6.57e-06,6.401e-03,1.444e-09
1,1,57,58,1,322,6,440,6.13e-12,0.0014,0.0014,0.0489888,0.049838600000000004,0.0014,0.2741858,6.57e-06,6.236e-03,1.461e-09
1,126,35,1,1,276,6,440,6.13e-12,0.0014,0.107625,0.0302932,0.0014,0.0014,0.235095,6.57e-06,6.097e-03,1.410e-09
1,2,1,22,400,14,6,440,6.13e-12,0.0014,0.0022498,0.0014,0.0192458,0.3404702,0.0124474,6.57e-06,6.491e-03,1.531e-09
1,1,53,121,263,1,6,440,6.13e-12,0.0014,0.0014,0.0455896,0.10337600000000001,0.2240476,0.0014,6.57e-06,6.645e-03,1.420e-09
16,1,6,1,414,2,6,440,6.13e-12,0.014147,0.0014,0.0056489999999999995,0.0014,0.3523674,0.0022498,6.57e-06,6.284e-03,1.533e-09
1,212,211,1,1,14,6,440,6.13e-12,0.0014,0.1807078,0.17985800000000002,0.0014,0.0014,0.0124474,6.57e-06,7.158e-03,1.362e-09
145,28,1,1,1,264,6,440,6.13e-12,0.12377120000000001,0.0243446,0.0014,0.0014,0.0014,0.2248974,6.57e-06,5.902e-03,1.384e-09
57,1,1,171,209,1,6,440,6.13e-12,0.0489888,0.0014,0.0014,0.14586600000000002,0.1781584,0.0014,6.57e-06,6.803e-03,1.392e-09
242,1,1,1,180,15,6,440,6.13e-12,0.2062018,0.0014,0.0014,0.0014,0.15351420000000002,0.0132972,6.57e-06,6.725e-03,1.358e-09
1,233,1,56,148,1,6,440,6.13e-12,0.0014,0.19855360000000002,0.0014,0.048138999999999994,0.1263206,0.0014,6.57e-06,7.069e-03,1.369e-09
245,1,2,1,6,185,6,440,6.13e-12,0.20875120000000003,0.0014,0.0022498,0.0014,0.0056489999999999995,0.15776320000000002,6.57e-06,6.318e-03,1.364e-09
1,33,334,1,1,70,6,440,6.13e-12,0.0014,0.0285936,0.2843834,0.0014,0.0014,0.060036200000000005,6.57e-06,6.938e-03,1.417e-09
322,1,3,2,111,1,6,440,6.13e-12,0.2741858,0.0014,0.0030995999999999997,0.0022498,0.094878,0.0014,6.57e-06,6.942e-03,1.354e-09
52,2,1,1,369,15,6,440,6.13e-12,0.044739799999999996,0.0022498,0.0014,0.0014,0.3141264,0.0132972,6.57e-06,6.268e-03,1.477e-09
5,1,121,311,1,1,6,440,6.13e-12,0.0047992,0.0014,0.10337600000000001,0.26483799999999996,0.0014,0.0014,6.57e-06,6.599e-03,1.413e-09
255,1,1,174,8,1,6,440,6.13e-12,0.2172492,0.0014,0.0014,0.1484154,0.007348599999999999,0.0014,6.57e-06,6.997e-03,1.349e-09
2,246,1,1,16,174,6,440,6.13e-12,0.0022498,0.209601,0.0014,0.0014,0.014147,0.1484154,6.57e-06,6.633e-03,1.388e-09
1,357,1,1,27,53,6,440,6.13e-12,0.0014,0.3039288,0.0014,0.0014,0.0234948,0.0455896,6.57e-06,7.031e-03,1.409e-09
1,16,1,187,234,1,6,440,6.13e-12,0.0014,0.014147,0.0014,0.15946280000000002,0.1994034,0.0014,6.57e-06,6.945e-03,1.427e-09
100,20,1,1,1,317,6,440,6.13e-12,0.08553020000000001,0.017546199999999998,0.0014,0.0014,0.0014,0.26993680000000003,6.57e-06,5.868e-03,1.430e-09
1,1,1,129,199,109,6,440,6.13e-12,0.0014,0.0014,0.0014,0.1101744,0.16966040000000002,0.09317840000000001,6.57e-06,7.342e-03,1.426e-09
