Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
74,1,4,2,68,1,10,7,160,1.949e-11,0.0634354,0.0014,0.0039494,0.0022498,0.058336599999999995,0.0014,0.0090482,1.74e-05,4.962e-03,6.013e-09
36,31,1,1,18,70,3,7,160,1.949e-11,0.031142999999999997,0.026893999999999998,0.0014,0.0014,0.015846600000000002,0.060036200000000005,0.0030995999999999997,1.74e-05,4.955e-03,6.015e-09
1,27,82,4,19,1,26,7,160,1.949e-11,0.0014,0.0234948,0.0702338,0.0039494,0.0166964,0.0014,0.022645,1.74e-05,4.976e-03,6.050e-09
4,6,4,1,120,1,24,7,160,1.949e-11,0.0039494,0.0056489999999999995,0.0039494,0.0014,0.10252620000000001,0.0014,0.0209454,1.74e-05,4.953e-03,6.098e-09
63,1,26,1,1,5,63,7,160,1.949e-11,0.0540876,0.0014,0.022645,0.0014,0.0014,0.0047992,0.0540876,1.74e-05,4.939e-03,6.051e-09
4,1,117,3,1,1,33,7,160,1.949e-11,0.0039494,0.0014,0.09997680000000002,0.0030995999999999997,0.0014,0.0014,0.0285936,1.74e-05,4.962e-03,6.025e-09
1,23,2,64,29,1,40,7,160,1.949e-11,0.0014,0.020095599999999998,0.0022498,0.0549374,0.0251944,0.0014,0.0345422,1.74e-05,4.982e-03,6.080e-09
1,5,27,6,85,35,1,7,160,1.949e-11,0.0014,0.0047992,0.0234948,0.0056489999999999995,0.0727832,0.0302932,0.0014,1.74e-05,4.988e-03,6.071e-09
75,1,1,4,10,21,48,7,160,1.949e-11,0.0642852,0.0014,0.0014,0.0039494,0.0090482,0.018396,0.041340600000000005,1.74e-05,4.953e-03,6.041e-09
4,1,75,12,35,1,32,7,160,1.949e-11,0.0039494,0.0014,0.0642852,0.0107478,0.0302932,0.0014,0.027743800000000002,1.74e-05,4.983e-03,6.063e-09
1,2,115,5,1,33,3,7,160,1.949e-11,0.0014,0.0022498,0.09827720000000001,0.0047992,0.0014,0.0285936,0.0030995999999999997,1.74e-05,4.972e-03,6.005e-09
1,54,78,4,9,1,13,7,160,1.949e-11,0.0014,0.0464394,0.06683460000000001,0.0039494,0.0081984,0.0014,0.0115976,1.74e-05,4.974e-03,6.026e-09
32,1,3,1,7,36,80,7,160,1.949e-11,0.027743800000000002,0.0014,0.0030995999999999997,0.0014,0.006498799999999999,0.031142999999999997,0.06853420000000002,1.74e-05,4.956e-03,6.099e-09
121,22,8,1,3,4,1,7,160,1.949e-11,0.10337600000000001,0.0192458,0.007348599999999999,0.0014,0.0030995999999999997,0.0039494,0.0014,1.74e-05,4.949e-03,5.924e-09
1,42,97,3,4,12,1,7,160,1.949e-11,0.0014,0.0362418,0.08298080000000001,0.0030995999999999997,0.0039494,0.0107478,0.0014,1.74e-05,4.975e-03,6.024e-09
1,10,2,9,93,44,1,7,160,1.949e-11,0.0014,0.0090482,0.0022498,0.0081984,0.07958160000000002,0.0379414,0.0014,1.74e-05,4.987e-03,6.086e-09
27,4,1,1,56,13,58,7,160,1.949e-11,0.0234948,0.0039494,0.0014,0.0014,0.048138999999999994,0.0115976,0.049838600000000004,1.74e-05,4.972e-03,6.095e-09
1,1,15,4,51,50,38,7,160,1.949e-11,0.0014,0.0014,0.0132972,0.0039494,0.04389,0.0430402,0.0328426,1.74e-05,5.007e-03,6.102e-09
19,3,77,1,31,28,1,7,160,1.949e-11,0.0166964,0.0030995999999999997,0.06598480000000001,0.0014,0.026893999999999998,0.0243446,0.0014,1.74e-05,4.993e-03,6.045e-09
2,51,1,80,14,11,1,7,160,1.949e-11,0.0022498,0.04389,0.0014,0.06853420000000002,0.0124474,0.009898,0.0014,1.74e-05,4.986e-03,5.976e-09
48,1,4,29,57,20,1,7,160,1.949e-11,0.041340600000000005,0.0014,0.0039494,0.0251944,0.0489888,0.017546199999999998,0.0014,1.74e-05,4.989e-03,6.003e-09
1,9,1,4,110,32,3,7,160,1.949e-11,0.0014,0.0081984,0.0014,0.0039494,0.09402820000000002,0.027743800000000002,0.0030995999999999997,1.74e-05,4.968e-03,6.080e-09
33,80,1,15,3,27,1,7,160,1.949e-11,0.0285936,0.06853420000000002,0.0014,0.0132972,0.0030995999999999997,0.0234948,0.0014,1.74e-05,4.971e-03,5.953e-09
48,1,33,1,62,4,11,7,160,1.949e-11,0.041340600000000005,0.0014,0.0285936,0.0014,0.0532378,0.0039494,0.009898,1.74e-05,4.976e-03,6.028e-09
41,1,56,1,30,3,28,7,160,1.949e-11,0.035392,0.0014,0.048138999999999994,0.0014,0.0260442,0.0030995999999999997,0.0243446,1.74e-05,4.970e-03,6.035e-09
33,1,91,5,25,4,1,7,160,1.949e-11,0.0285936,0.0014,0.077882,0.0047992,0.021795199999999997,0.0039494,0.0014,1.74e-05,4.981e-03,6.027e-09
2,35,4,1,1,101,16,7,160,1.949e-11,0.0022498,0.0302932,0.0039494,0.0014,0.0014,0.08638000000000001,0.014147,1.74e-05,4.949e-03,6.109e-09
8,22,3,78,47,1,1,7,160,1.949e-11,0.007348599999999999,0.0192458,0.0030995999999999997,0.06683460000000001,0.0404908,0.0014,0.0014,1.74e-05,4.994e-03,6.043e-09
35,3,1,1,15,10,95,7,160,1.949e-11,0.0302932,0.0030995999999999997,0.0014,0.0014,0.0132972,0.0090482,0.08128120000000001,1.74e-05,4.937e-03,6.074e-09
4,13,1,113,1,7,21,7,160,1.949e-11,0.0039494,0.0115976,0.0014,0.0965776,0.0014,0.006498799999999999,0.018396,1.74e-05,4.964e-03,6.076e-09
18,1,1,40,30,2,68,7,160,1.949e-11,0.015846600000000002,0.0014,0.0014,0.0345422,0.0260442,0.0022498,0.058336599999999995,1.74e-05,4.965e-03,6.084e-09
9,1,61,4,1,31,53,7,160,1.949e-11,0.0081984,0.0014,0.052388,0.0039494,0.0014,0.026893999999999998,0.0455896,1.74e-05,4.972e-03,6.082e-09
101,1,25,10,1,3,19,7,160,1.949e-11,0.08638000000000001,0.0014,0.021795199999999997,0.0090482,0.0014,0.0030995999999999997,0.0166964,1.74e-05,4.948e-03,5.992e-09
50,7,1,34,1,4,63,7,160,1.949e-11,0.0430402,0.006498799999999999,0.0014,0.029443399999999998,0.0014,0.0039494,0.0540876,1.74e-05,4.946e-03,6.063e-09
2,1,18,1,16,112,10,7,160,1.949e-11,0.0022498,0.0014,0.015846600000000002,0.0014,0.014147,0.0957278,0.0090482,1.74e-05,4.950e-03,6.068e-09
1,58,4,90,5,1,1,7,160,1.949e-11,0.0014,0.049838600000000004,0.0039494,0.07703220000000001,0.0047992,0.0014,0.0014,1.74e-05,4.964e-03,6.026e-09
78,1,1,1,41,20,18,7,160,1.949e-11,0.06683460000000001,0.0014,0.0014,0.0014,0.035392,0.017546199999999998,0.015846600000000002,1.74e-05,4.974e-03,5.999e-09
19,1,8,14,1,2,115,7,160,1.949e-11,0.0166964,0.0014,0.007348599999999999,0.0124474,0.0014,0.0022498,0.09827720000000001,1.74e-05,4.925e-03,6.125e-09
1,3,29,20,27,79,1,7,160,1.949e-11,0.0014,0.0030995999999999997,0.0251944,0.017546199999999998,0.0234948,0.0676844,0.0014,1.74e-05,4.968e-03,6.061e-09
13,4,1,5,17,1,119,7,160,1.949e-11,0.0115976,0.0039494,0.0014,0.0047992,0.014996800000000001,0.0014,0.1016764,1.74e-05,4.927e-03,6.157e-09
4,1,63,34,1,45,12,7,160,1.949e-11,0.0039494,0.0014,0.0540876,0.029443399999999998,0.0014,0.0387912,0.0107478,1.74e-05,4.993e-03,6.066e-09
1,99,6,1,4,2,47,7,160,1.949e-11,0.0014,0.0846804,0.0056489999999999995,0.0014,0.0039494,0.0022498,0.0404908,1.74e-05,4.950e-03,5.994e-09
80,3,1,11,1,11,53,7,160,1.949e-11,0.06853420000000002,0.0030995999999999997,0.0014,0.009898,0.0014,0.009898,0.0455896,1.74e-05,4.941e-03,6.044e-09
103,4,40,1,6,1,5,7,160,1.949e-11,0.08807960000000001,0.0039494,0.0345422,0.0014,0.0056489999999999995,0.0014,0.0047992,1.74e-05,4.956e-03,5.938e-09
44,64,26,1,1,1,23,7,160,1.949e-11,0.0379414,0.0549374,0.022645,0.0014,0.0014,0.0014,0.020095599999999998,1.74e-05,4.952e-03,5.937e-09
3,61,1,22,40,32,1,7,160,1.949e-11,0.0030995999999999997,0.052388,0.0014,0.0192458,0.0345422,0.027743800000000002,0.0014,1.74e-05,4.993e-03,5.976e-09
68,55,25,5,1,1,5,7,160,1.949e-11,0.058336599999999995,0.0472892,0.021795199999999997,0.0047992,0.0014,0.0014,0.0047992,1.74e-05,4.957e-03,5.963e-09
2,55,1,1,5,72,24,7,160,1.949e-11,0.0022498,0.0472892,0.0014,0.0014,0.0047992,0.0617358,0.0209454,1.74e-05,4.972e-03,6.051e-09
7,2,46,5,1,98,1,7,160,1.949e-11,0.006498799999999999,0.0022498,0.039640999999999996,0.0047992,0.0014,0.0838306,0.0014,1.74e-05,4.944e-03,6.039e-09
