Stage1,Stage2,Stage3,Stages,Switches,Cap,Slew1,Slew2,Slew3,Ileak,MaxI,EndTime
70,86,44,3,200,1e-12,0.060036200000000005,0.07363300000000002,0.0379414,6.800000000000001e-07,1.718e-03,7.172e-10
11,109,80,3,200,1e-12,0.009898,0.09317840000000001,0.06853420000000002,6.800000000000001e-07,1.737e-03,7.478e-10
13,87,100,3,200,1e-12,0.0115976,0.07448280000000002,0.08553020000000001,6.800000000000001e-07,1.689e-03,7.479e-10
31,155,14,3,200,1e-12,0.026893999999999998,0.1322692,0.0124474,6.800000000000001e-07,1.674e-03,7.445e-10
43,99,58,3,200,1e-12,0.0370916,0.0846804,0.049838600000000004,6.800000000000001e-07,1.660e-03,7.267e-10
144,15,41,3,200,1e-12,0.12292140000000001,0.0132972,0.035392,6.800000000000001e-07,1.765e-03,7.335e-10
46,63,91,3,200,1e-12,0.039640999999999996,0.0540876,0.077882,6.800000000000001e-07,1.635e-03,7.228e-10
49,50,101,3,200,1e-12,0.042190399999999996,0.0430402,0.08638000000000001,6.800000000000001e-07,1.619e-03,7.231e-10
70,122,8,3,200,1e-12,0.060036200000000005,0.10422580000000001,0.007348599999999999,6.800000000000001e-07,1.694e-03,7.231e-10
101,90,9,3,200,1e-12,0.08638000000000001,0.07703220000000001,0.0081984,6.800000000000001e-07,1.771e-03,7.230e-10
131,12,57,3,200,1e-12,0.11187400000000002,0.0107478,0.0489888,6.800000000000001e-07,1.737e-03,7.339e-10
35,117,48,3,200,1e-12,0.0302932,0.09997680000000002,0.041340600000000005,6.800000000000001e-07,1.675e-03,7.317e-10
103,60,37,3,200,1e-12,0.08807960000000001,0.0515382,0.0319928,6.800000000000001e-07,1.787e-03,7.256e-10
21,37,142,3,200,1e-12,0.018396,0.0319928,0.1212218,6.800000000000001e-07,1.579e-03,7.458e-10
60,22,118,3,200,1e-12,0.0515382,0.0192458,0.1008266,6.800000000000001e-07,1.572e-03,7.302e-10
26,107,67,3,200,1e-12,0.022645,0.09147880000000001,0.0574868,6.800000000000001e-07,1.685e-03,7.388e-10
3,7,190,3,200,1e-12,0.0030995999999999997,0.006498799999999999,0.16201220000000002,6.800000000000001e-07,1.675e-03,8.096e-10
122,7,71,3,200,1e-12,0.10422580000000001,0.006498799999999999,0.060885999999999996,6.800000000000001e-07,1.696e-03,7.330e-10
22,92,86,3,200,1e-12,0.0192458,0.0787318,0.07363300000000002,6.800000000000001e-07,1.676e-03,7.370e-10
55,119,26,3,200,1e-12,0.0472892,0.1016764,0.022645,6.800000000000001e-07,1.674e-03,7.257e-10
15,6,179,3,200,1e-12,0.0132972,0.0056489999999999995,0.1526644,6.800000000000001e-07,1.614e-03,7.829e-10
54,37,109,3,200,1e-12,0.0464394,0.0319928,0.09317840000000001,6.800000000000001e-07,1.603e-03,7.258e-10
144,10,46,3,200,1e-12,0.12292140000000001,0.0090482,0.039640999999999996,6.800000000000001e-07,1.742e-03,7.371e-10
16,123,61,3,200,1e-12,0.014147,0.1050756,0.052388,6.800000000000001e-07,1.732e-03,7.463e-10
25,22,153,3,200,1e-12,0.021795199999999997,0.0192458,0.1305696,6.800000000000001e-07,1.565e-03,7.500e-10
69,47,84,3,200,1e-12,0.0591864,0.0404908,0.07193340000000001,6.800000000000001e-07,1.699e-03,7.199e-10
59,134,7,3,200,1e-12,0.0506884,0.11442340000000001,0.006498799999999999,6.800000000000001e-07,1.668e-03,7.268e-10
30,151,19,3,200,1e-12,0.0260442,0.12887,0.0166964,6.800000000000001e-07,1.681e-03,7.446e-10
179,3,18,3,200,1e-12,0.1526644,0.0030995999999999997,0.015846600000000002,6.800000000000001e-07,1.747e-03,7.494e-10
135,18,47,3,200,1e-12,0.1152732,0.015846600000000002,0.0404908,6.800000000000001e-07,1.768e-03,7.343e-10
120,76,4,3,200,1e-12,0.10252620000000001,0.06513500000000001,0.0039494,6.800000000000001e-07,1.802e-03,7.263e-10
32,35,133,3,200,1e-12,0.027743800000000002,0.0302932,0.1135736,6.800000000000001e-07,1.561e-03,7.373e-10
95,104,1,3,200,1e-12,0.08128120000000001,0.0889294,0.0014,6.800000000000001e-07,1.750e-03,7.260e-10
13,28,159,3,200,1e-12,0.0115976,0.0243446,0.13566840000000002,6.800000000000001e-07,1.591e-03,7.635e-10
9,7,184,3,200,1e-12,0.0081984,0.006498799999999999,0.1569134,6.800000000000001e-07,1.644e-03,7.953e-10
131,17,52,3,200,1e-12,0.11187400000000002,0.014996800000000001,0.044739799999999996,6.800000000000001e-07,1.760e-03,7.314e-10
31,125,44,3,200,1e-12,0.026893999999999998,0.10677520000000001,0.0379414,6.800000000000001e-07,1.687e-03,7.355e-10
74,52,74,3,200,1e-12,0.0634354,0.044739799999999996,0.0634354,6.800000000000001e-07,1.721e-03,7.204e-10
76,89,35,3,200,1e-12,0.06513500000000001,0.0761824,0.0302932,6.800000000000001e-07,1.729e-03,7.230e-10
143,52,5,3,200,1e-12,0.1220716,0.044739799999999996,0.0047992,6.800000000000001e-07,1.825e-03,7.355e-10
79,36,85,3,200,1e-12,0.0676844,0.031142999999999997,0.0727832,6.800000000000001e-07,1.711e-03,7.247e-10
105,59,36,3,200,1e-12,0.0897792,0.0506884,0.031142999999999997,6.800000000000001e-07,1.790e-03,7.248e-10
61,55,84,3,200,1e-12,0.052388,0.0472892,0.07193340000000001,6.800000000000001e-07,1.681e-03,7.223e-10
48,124,28,3,200,1e-12,0.041340600000000005,0.10592540000000002,0.0243446,6.800000000000001e-07,1.662e-03,7.289e-10
85,20,95,3,200,1e-12,0.0727832,0.017546199999999998,0.08128120000000001,6.800000000000001e-07,1.676e-03,7.237e-10
14,48,138,3,200,1e-12,0.0124474,0.041340600000000005,0.11782260000000001,6.800000000000001e-07,1.603e-03,7.533e-10
55,20,125,3,200,1e-12,0.0472892,0.017546199999999998,0.10677520000000001,6.800000000000001e-07,1.558e-03,7.309e-10
29,40,131,3,200,1e-12,0.0251944,0.0345422,0.11187400000000002,6.800000000000001e-07,1.567e-03,7.380e-10
127,7,66,3,200,1e-12,0.10847480000000001,0.006498799999999999,0.056637,6.800000000000001e-07,1.705e-03,7.320e-10
40,158,2,3,200,1e-12,0.0345422,0.1348186,0.0022498,6.800000000000001e-07,1.643e-03,7.345e-10
164,4,32,3,200,1e-12,0.13991740000000003,0.0039494,0.027743800000000002,6.800000000000001e-07,1.737e-03,7.421e-10
152,43,5,3,200,1e-12,0.1297198,0.0370916,0.0047992,6.800000000000001e-07,1.827e-03,7.382e-10
8,154,38,3,200,1e-12,0.007348599999999999,0.1314194,0.0328426,6.800000000000001e-07,1.778e-03,7.666e-10
10,125,65,3,200,1e-12,0.0090482,0.10677520000000001,0.0557872,6.800000000000001e-07,1.759e-03,7.527e-10
25,153,22,3,200,1e-12,0.021795199999999997,0.1305696,0.0192458,6.800000000000001e-07,1.698e-03,7.446e-10
