Stage1,Stage2,Stage3,Stages,Switches,Cap,Slew1,Slew2,Slew3,Ileak,MaxI,EndTime
10,37,173,3,220,1.0198e-11,0.0090482,0.0319928,0.14756560000000002,4.6999999999999995e-07,5.964e-03,2.750e-09
6,139,75,3,220,1.0198e-11,0.0056489999999999995,0.11867240000000001,0.0642852,4.6999999999999995e-07,6.164e-03,2.708e-09
21,112,87,3,220,1.0198e-11,0.018396,0.0957278,0.07448280000000002,4.6999999999999995e-07,6.187e-03,2.696e-09
26,17,177,3,220,1.0198e-11,0.022645,0.014996800000000001,0.1509648,4.6999999999999995e-07,5.947e-03,2.751e-09
119,22,79,3,220,1.0198e-11,0.1016764,0.0192458,0.0676844,4.6999999999999995e-07,6.174e-03,2.677e-09
25,8,187,3,220,1.0198e-11,0.021795199999999997,0.007348599999999999,0.15946280000000002,4.6999999999999995e-07,5.928e-03,2.762e-09
93,42,85,3,220,1.0198e-11,0.07958160000000002,0.0362418,0.0727832,4.6999999999999995e-07,6.178e-03,2.682e-09
22,57,141,3,220,1.0198e-11,0.0192458,0.0489888,0.120372,4.6999999999999995e-07,6.048e-03,2.713e-09
127,8,85,3,220,1.0198e-11,0.10847480000000001,0.007348599999999999,0.0727832,4.6999999999999995e-07,6.156e-03,2.685e-09
41,28,151,3,220,1.0198e-11,0.035392,0.0243446,0.12887,4.6999999999999995e-07,6.006e-03,2.716e-09
75,17,128,3,220,1.0198e-11,0.0642852,0.014996800000000001,0.10932460000000001,4.6999999999999995e-07,6.059e-03,2.688e-09
56,145,19,3,220,1.0198e-11,0.048138999999999994,0.12377120000000001,0.0166964,4.6999999999999995e-07,6.078e-03,2.687e-09
111,50,59,3,220,1.0198e-11,0.094878,0.0430402,0.0506884,4.6999999999999995e-07,6.234e-03,2.671e-09
65,125,30,3,220,1.0198e-11,0.0557872,0.10677520000000001,0.0260442,4.6999999999999995e-07,6.148e-03,2.683e-09
57,138,25,3,220,1.0198e-11,0.0489888,0.11782260000000001,0.021795199999999997,4.6999999999999995e-07,6.102e-03,2.667e-09
74,21,125,3,220,1.0198e-11,0.0634354,0.018396,0.10677520000000001,4.6999999999999995e-07,6.069e-03,2.697e-09
89,47,84,3,220,1.0198e-11,0.0761824,0.0404908,0.07193340000000001,4.6999999999999995e-07,6.182e-03,2.664e-09
41,61,118,3,220,1.0198e-11,0.035392,0.052388,0.1008266,4.6999999999999995e-07,6.103e-03,2.700e-09
48,85,87,3,220,1.0198e-11,0.041340600000000005,0.0727832,0.07448280000000002,4.6999999999999995e-07,6.186e-03,2.684e-09
97,94,29,3,220,1.0198e-11,0.08298080000000001,0.08043140000000001,0.0251944,4.6999999999999995e-07,6.228e-03,2.675e-09
20,5,195,3,220,1.0198e-11,0.017546199999999998,0.0047992,0.1662612,4.6999999999999995e-07,5.912e-03,2.770e-09
98,103,19,3,220,1.0198e-11,0.0838306,0.08807960000000001,0.0166964,4.6999999999999995e-07,6.190e-03,2.677e-09
23,38,159,3,220,1.0198e-11,0.020095599999999998,0.0328426,0.13566840000000002,4.6999999999999995e-07,5.992e-03,2.723e-09
85,33,102,3,220,1.0198e-11,0.0727832,0.0285936,0.08722980000000001,4.6999999999999995e-07,6.129e-03,2.686e-09
42,50,128,3,220,1.0198e-11,0.0362418,0.0430402,0.10932460000000001,4.6999999999999995e-07,6.072e-03,2.702e-09
185,24,11,3,220,1.0198e-11,0.15776320000000002,0.0209454,0.009898,4.6999999999999995e-07,6.009e-03,2.697e-09
37,63,120,3,220,1.0198e-11,0.0319928,0.0540876,0.10252620000000001,4.6999999999999995e-07,6.098e-03,2.701e-09
130,89,1,3,220,1.0198e-11,0.1110242,0.0761824,0.0014,4.6999999999999995e-07,6.174e-03,2.673e-09
123,19,78,3,220,1.0198e-11,0.1050756,0.0166964,0.06683460000000001,4.6999999999999995e-07,6.172e-03,2.678e-09
94,18,108,3,220,1.0198e-11,0.08043140000000001,0.015846600000000002,0.09232860000000001,4.6999999999999995e-07,6.111e-03,2.690e-09
132,46,42,3,220,1.0198e-11,0.11272380000000001,0.039640999999999996,0.0362418,4.6999999999999995e-07,6.216e-03,2.671e-09
13,127,80,3,220,1.0198e-11,0.0115976,0.10847480000000001,0.06853420000000002,4.6999999999999995e-07,6.179e-03,2.692e-09
37,129,54,3,220,1.0198e-11,0.0319928,0.1101744,0.0464394,4.6999999999999995e-07,6.170e-03,2.690e-09
71,116,33,3,220,1.0198e-11,0.060885999999999996,0.099127,0.0285936,4.6999999999999995e-07,6.178e-03,2.681e-09
74,41,105,3,220,1.0198e-11,0.0634354,0.035392,0.0897792,4.6999999999999995e-07,6.128e-03,2.690e-09
20,137,63,3,220,1.0198e-11,0.017546199999999998,0.11697280000000002,0.0540876,4.6999999999999995e-07,6.161e-03,2.703e-09
46,82,92,3,220,1.0198e-11,0.039640999999999996,0.0702338,0.0787318,4.6999999999999995e-07,6.174e-03,2.685e-09
1,155,64,3,220,1.0198e-11,0.0014,0.1322692,0.0549374,4.6999999999999995e-07,6.124e-03,2.719e-09
32,8,180,3,220,1.0198e-11,0.027743800000000002,0.007348599999999999,0.15351420000000002,4.6999999999999995e-07,5.944e-03,2.733e-09
155,41,24,3,220,1.0198e-11,0.1322692,0.035392,0.0209454,4.6999999999999995e-07,6.133e-03,2.679e-09
100,49,71,3,220,1.0198e-11,0.08553020000000001,0.042190399999999996,0.060885999999999996,4.6999999999999995e-07,6.214e-03,2.677e-09
170,26,24,3,220,1.0198e-11,0.1450162,0.022645,0.0209454,4.6999999999999995e-07,6.068e-03,2.693e-09
41,98,81,3,220,1.0198e-11,0.035392,0.0838306,0.069384,4.6999999999999995e-07,6.198e-03,2.685e-09
86,128,6,3,220,1.0198e-11,0.07363300000000002,0.10932460000000001,0.0056489999999999995,4.6999999999999995e-07,6.099e-03,2.683e-09
119,72,29,3,220,1.0198e-11,0.1016764,0.0617358,0.0251944,4.6999999999999995e-07,6.242e-03,2.670e-09
43,56,121,3,220,1.0198e-11,0.0370916,0.048138999999999994,0.10337600000000001,4.6999999999999995e-07,6.091e-03,2.699e-09
11,14,195,3,220,1.0198e-11,0.009898,0.0124474,0.1662612,4.6999999999999995e-07,5.920e-03,2.771e-09
21,149,50,3,220,1.0198e-11,0.018396,0.12717040000000002,0.0430402,4.6999999999999995e-07,6.114e-03,2.709e-09
127,82,11,3,220,1.0198e-11,0.10847480000000001,0.0702338,0.009898,4.6999999999999995e-07,6.199e-03,2.672e-09
2,55,163,3,220,1.0198e-11,0.0022498,0.0472892,0.1390676,4.6999999999999995e-07,6.001e-03,2.717e-09
160,37,23,3,220,1.0198e-11,0.1365182,0.0319928,0.020095599999999998,4.6999999999999995e-07,6.110e-03,2.684e-09
148,27,45,3,220,1.0198e-11,0.1263206,0.0234948,0.0387912,4.6999999999999995e-07,6.162e-03,2.677e-09
83,122,15,3,220,1.0198e-11,0.07108360000000001,0.10422580000000001,0.0132972,4.6999999999999995e-07,6.136e-03,2.680e-09
13,42,165,3,220,1.0198e-11,0.0115976,0.0362418,0.1407672,4.6999999999999995e-07,5.980e-03,2.734e-09
29,166,25,3,220,1.0198e-11,0.0251944,0.14161700000000002,0.021795199999999997,4.6999999999999995e-07,6.028e-03,2.717e-09
81,88,51,3,220,1.0198e-11,0.069384,0.0753326,0.04389,4.6999999999999995e-07,6.249e-03,2.673e-09
209,5,6,3,220,1.0198e-11,0.1781584,0.0047992,0.0056489999999999995,4.6999999999999995e-07,5.914e-03,2.720e-09
12,82,126,3,220,1.0198e-11,0.0107478,0.0702338,0.107625,4.6999999999999995e-07,6.102e-03,2.714e-09
7,76,137,3,220,1.0198e-11,0.006498799999999999,0.06513500000000001,0.11697280000000002,4.6999999999999995e-07,6.073e-03,2.718e-09
23,136,61,3,220,1.0198e-11,0.020095599999999998,0.116123,0.052388,4.6999999999999995e-07,6.159e-03,2.683e-09
63,7,150,3,220,1.0198e-11,0.0540876,0.006498799999999999,0.1280202,4.6999999999999995e-07,6.005e-03,2.708e-09
95,14,111,3,220,1.0198e-11,0.08128120000000001,0.0124474,0.094878,4.6999999999999995e-07,6.105e-03,2.690e-09
77,16,127,3,220,1.0198e-11,0.06598480000000001,0.014147,0.10847480000000001,4.6999999999999995e-07,6.065e-03,2.702e-09
82,113,25,3,220,1.0198e-11,0.0702338,0.0965776,0.021795199999999997,4.6999999999999995e-07,6.174e-03,2.674e-09
115,34,71,3,220,1.0198e-11,0.09827720000000001,0.029443399999999998,0.060885999999999996,4.6999999999999995e-07,6.202e-03,2.674e-09
12,85,123,3,220,1.0198e-11,0.0107478,0.0727832,0.1050756,4.6999999999999995e-07,6.103e-03,2.713e-09
38,80,102,3,220,1.0198e-11,0.0328426,0.06853420000000002,0.08722980000000001,4.6999999999999995e-07,6.146e-03,2.687e-09
25,113,82,3,220,1.0198e-11,0.021795199999999997,0.0965776,0.0702338,4.6999999999999995e-07,6.190e-03,2.680e-09
157,52,11,3,220,1.0198e-11,0.13396880000000003,0.044739799999999996,0.009898,4.6999999999999995e-07,6.121e-03,2.682e-09
31,188,1,3,220,1.0198e-11,0.026893999999999998,0.1603126,0.0014,4.6999999999999995e-07,5.940e-03,2.721e-09
183,4,33,3,220,1.0198e-11,0.15606360000000002,0.0039494,0.0285936,4.6999999999999995e-07,6.016e-03,2.700e-09
77,113,30,3,220,1.0198e-11,0.06598480000000001,0.0965776,0.0260442,4.6999999999999995e-07,6.182e-03,2.680e-09
92,91,37,3,220,1.0198e-11,0.0787318,0.077882,0.0319928,4.6999999999999995e-07,6.242e-03,2.669e-09
94,40,86,3,220,1.0198e-11,0.08043140000000001,0.0345422,0.07363300000000002,4.6999999999999995e-07,6.171e-03,2.676e-09
97,22,101,3,220,1.0198e-11,0.08298080000000001,0.0192458,0.08638000000000001,4.6999999999999995e-07,6.129e-03,2.686e-09
107,97,16,3,220,1.0198e-11,0.09147880000000001,0.08298080000000001,0.014147,4.6999999999999995e-07,6.197e-03,2.676e-09
65,39,116,3,220,1.0198e-11,0.0557872,0.0336924,0.099127,4.6999999999999995e-07,6.098e-03,2.691e-09
70,104,46,3,220,1.0198e-11,0.060036200000000005,0.0889294,0.039640999999999996,4.6999999999999995e-07,6.223e-03,2.660e-09
17,53,150,3,220,1.0198e-11,0.014996800000000001,0.0455896,0.1280202,4.6999999999999995e-07,6.023e-03,2.722e-09
27,160,33,3,220,1.0198e-11,0.0234948,0.1365182,0.0285936,4.6999999999999995e-07,6.056e-03,2.704e-09
96,9,115,3,220,1.0198e-11,0.082131,0.0081984,0.09827720000000001,4.6999999999999995e-07,6.095e-03,2.694e-09
92,94,34,3,220,1.0198e-11,0.0787318,0.08043140000000001,0.029443399999999998,4.6999999999999995e-07,6.234e-03,2.666e-09
79,41,100,3,220,1.0198e-11,0.0676844,0.035392,0.08553020000000001,4.6999999999999995e-07,6.133e-03,2.680e-09
132,83,5,3,220,1.0198e-11,0.11272380000000001,0.07108360000000001,0.0047992,4.6999999999999995e-07,6.182e-03,2.672e-09
120,15,85,3,220,1.0198e-11,0.10252620000000001,0.0132972,0.0727832,4.6999999999999995e-07,6.163e-03,2.688e-09
141,11,68,3,220,1.0198e-11,0.120372,0.009898,0.058336599999999995,4.6999999999999995e-07,6.164e-03,2.684e-09
96,116,8,3,220,1.0198e-11,0.082131,0.099127,0.007348599999999999,4.6999999999999995e-07,6.144e-03,2.680e-09
66,91,63,3,220,1.0198e-11,0.056637,0.077882,0.0540876,4.6999999999999995e-07,6.235e-03,2.674e-09
59,6,155,3,220,1.0198e-11,0.0506884,0.0056489999999999995,0.1322692,4.6999999999999995e-07,5.996e-03,2.707e-09
6,121,93,3,220,1.0198e-11,0.0056489999999999995,0.10337600000000001,0.07958160000000002,4.6999999999999995e-07,6.178e-03,2.710e-09
