Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
223,1,200,1,74,1,6,500,2.7829999999999998e-12,0.1900556,0.0014,0.1705102,0.0014,0.0634354,0.0014,3.0399999999999997e-06,3.923e-03,8.585e-10
78,1,280,1,1,139,6,500,2.7829999999999998e-12,0.06683460000000001,0.0014,0.23849420000000002,0.0014,0.0014,0.11867240000000001,3.0399999999999997e-06,3.558e-03,8.871e-10
1,1,189,1,271,37,6,500,2.7829999999999998e-12,0.0014,0.0014,0.1611624,0.0014,0.230846,0.0319928,3.0399999999999997e-06,3.688e-03,9.401e-10
1,1,1,65,383,49,6,500,2.7829999999999998e-12,0.0014,0.0014,0.0014,0.0557872,0.32602359999999997,0.042190399999999996,3.0399999999999997e-06,3.723e-03,1.004e-09
1,15,222,260,1,1,6,500,2.7829999999999998e-12,0.0014,0.0132972,0.1892058,0.2214982,0.0014,0.0014,3.0399999999999997e-06,3.897e-03,9.229e-10
1,74,333,1,1,90,6,500,2.7829999999999998e-12,0.0014,0.0634354,0.2835336,0.0014,0.0014,0.07703220000000001,3.0399999999999997e-06,3.628e-03,9.162e-10
408,51,1,38,1,1,6,500,2.7829999999999998e-12,0.3472686,0.04389,0.0014,0.0328426,0.0014,0.0014,3.0399999999999997e-06,4.087e-03,9.070e-10
209,230,1,58,1,1,6,500,2.7829999999999998e-12,0.1781584,0.1960042,0.0014,0.049838600000000004,0.0014,0.0014,3.0399999999999997e-06,4.050e-03,8.519e-10
101,204,1,192,1,1,6,500,2.7829999999999998e-12,0.08638000000000001,0.17390940000000002,0.0014,0.16371180000000002,0.0014,0.0014,3.0399999999999997e-06,3.818e-03,8.483e-10
19,159,1,1,319,1,6,500,2.7829999999999998e-12,0.0166964,0.13566840000000002,0.0014,0.0014,0.2716364,0.0014,3.0399999999999997e-06,3.394e-03,8.978e-10
218,1,1,224,1,55,6,500,2.7829999999999998e-12,0.18580660000000002,0.0014,0.0014,0.19090540000000003,0.0014,0.0472892,3.0399999999999997e-06,3.634e-03,8.677e-10
24,1,113,1,1,360,6,500,2.7829999999999998e-12,0.0209454,0.0014,0.0965776,0.0014,0.0014,0.3064782,3.0399999999999997e-06,3.065e-03,9.415e-10
262,159,1,1,1,76,6,500,2.7829999999999998e-12,0.2231978,0.13566840000000002,0.0014,0.0014,0.0014,0.06513500000000001,3.0399999999999997e-06,4.241e-03,8.607e-10
1,120,37,1,1,340,6,500,2.7829999999999998e-12,0.0014,0.10252620000000001,0.0319928,0.0014,0.0014,0.28948219999999997,3.0399999999999997e-06,3.422e-03,9.154e-10
271,1,1,1,143,83,6,500,2.7829999999999998e-12,0.230846,0.0014,0.0014,0.0014,0.1220716,0.07108360000000001,3.0399999999999997e-06,3.721e-03,8.829e-10
219,1,59,1,1,219,6,500,2.7829999999999998e-12,0.18665640000000003,0.0014,0.0506884,0.0014,0.0014,0.18665640000000003,3.0399999999999997e-06,3.999e-03,8.681e-10
1,217,1,1,68,212,6,500,2.7829999999999998e-12,0.0014,0.18495680000000003,0.0014,0.0014,0.058336599999999995,0.1807078,3.0399999999999997e-06,3.850e-03,9.061e-10
1,73,1,1,326,98,6,500,2.7829999999999998e-12,0.0014,0.0625856,0.0014,0.0014,0.27758499999999997,0.0838306,3.0399999999999997e-06,3.486e-03,9.500e-10
1,286,1,1,101,110,6,500,2.7829999999999998e-12,0.0014,0.24359300000000003,0.0014,0.0014,0.08638000000000001,0.09402820000000002,3.0399999999999997e-06,3.936e-03,9.166e-10
1,1,18,97,382,1,6,500,2.7829999999999998e-12,0.0014,0.0014,0.015846600000000002,0.08298080000000001,0.32517379999999996,0.0014,3.0399999999999997e-06,3.419e-03,9.790e-10
116,1,1,248,133,1,6,500,2.7829999999999998e-12,0.099127,0.0014,0.0014,0.2113006,0.1135736,0.0014,3.0399999999999997e-06,3.423e-03,8.728e-10
1,140,1,284,1,73,6,500,2.7829999999999998e-12,0.0014,0.11952220000000001,0.0014,0.2418934,0.0014,0.0625856,3.0399999999999997e-06,3.579e-03,9.009e-10
1,103,109,285,1,1,6,500,2.7829999999999998e-12,0.0014,0.08807960000000001,0.09317840000000001,0.24274320000000002,0.0014,0.0014,3.0399999999999997e-06,3.755e-03,8.813e-10
1,127,1,1,225,145,6,500,2.7829999999999998e-12,0.0014,0.10847480000000001,0.0014,0.0014,0.19175520000000001,0.12377120000000001,3.0399999999999997e-06,3.465e-03,9.099e-10
270,1,1,1,147,80,6,500,2.7829999999999998e-12,0.2299962,0.0014,0.0014,0.0014,0.12547080000000002,0.06853420000000002,3.0399999999999997e-06,3.719e-03,8.799e-10
1,1,428,1,37,32,6,500,2.7829999999999998e-12,0.0014,0.0014,0.3642646,0.0014,0.0319928,0.027743800000000002,3.0399999999999997e-06,4.064e-03,9.938e-10
221,1,192,84,1,1,6,500,2.7829999999999998e-12,0.188356,0.0014,0.16371180000000002,0.07193340000000001,0.0014,0.0014,3.0399999999999997e-06,3.938e-03,8.597e-10
1,227,1,1,227,43,6,500,2.7829999999999998e-12,0.0014,0.1934548,0.0014,0.0014,0.1934548,0.0370916,3.0399999999999997e-06,3.634e-03,9.091e-10
1,1,1,140,19,338,6,500,2.7829999999999998e-12,0.0014,0.0014,0.0014,0.11952220000000001,0.0166964,0.2877826,3.0399999999999997e-06,3.403e-03,9.798e-10
91,1,1,1,138,268,6,500,2.7829999999999998e-12,0.077882,0.0014,0.0014,0.0014,0.11782260000000001,0.22829660000000002,3.0399999999999997e-06,3.281e-03,8.987e-10
1,1,1,330,125,42,6,500,2.7829999999999998e-12,0.0014,0.0014,0.0014,0.2809842,0.10677520000000001,0.0362418,3.0399999999999997e-06,4.270e-03,9.931e-10
21,414,1,1,62,1,6,500,2.7829999999999998e-12,0.018396,0.3523674,0.0014,0.0014,0.0532378,0.0014,3.0399999999999997e-06,3.773e-03,9.382e-10
264,1,131,102,1,1,6,500,2.7829999999999998e-12,0.2248974,0.0014,0.11187400000000002,0.08722980000000001,0.0014,0.0014,3.0399999999999997e-06,4.099e-03,8.662e-10
1,326,13,158,1,1,6,500,2.7829999999999998e-12,0.0014,0.27758499999999997,0.0115976,0.1348186,0.0014,0.0014,3.0399999999999997e-06,4.079e-03,9.207e-10
1,1,1,329,25,143,6,500,2.7829999999999998e-12,0.0014,0.0014,0.0014,0.28013439999999995,0.021795199999999997,0.1220716,3.0399999999999997e-06,4.076e-03,9.925e-10
174,25,1,1,1,298,6,500,2.7829999999999998e-12,0.1484154,0.021795199999999997,0.0014,0.0014,0.0014,0.25379060000000003,3.0399999999999997e-06,3.628e-03,8.756e-10
254,1,177,1,1,66,6,500,2.7829999999999998e-12,0.21639940000000002,0.0014,0.1509648,0.0014,0.0014,0.056637,3.0399999999999997e-06,4.016e-03,8.701e-10
1,34,3,460,1,1,6,500,2.7829999999999998e-12,0.0014,0.029443399999999998,0.0030995999999999997,0.3914582,0.0014,0.0014,3.0399999999999997e-06,3.517e-03,1.007e-09
1,95,72,1,1,330,6,500,2.7829999999999998e-12,0.0014,0.08128120000000001,0.0617358,0.0014,0.0014,0.2809842,3.0399999999999997e-06,3.535e-03,9.088e-10
1,48,142,307,1,1,6,500,2.7829999999999998e-12,0.0014,0.041340600000000005,0.1212218,0.26143879999999997,0.0014,0.0014,3.0399999999999997e-06,3.552e-03,9.003e-10
356,1,114,1,27,1,6,500,2.7829999999999998e-12,0.30307899999999993,0.0014,0.09742740000000001,0.0014,0.0234948,0.0014,3.0399999999999997e-06,4.158e-03,8.923e-10
1,1,351,125,1,21,6,500,2.7829999999999998e-12,0.0014,0.0014,0.29883,0.10677520000000001,0.0014,0.018396,3.0399999999999997e-06,4.270e-03,9.607e-10
