Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
1,36,1,116,774,1,1,7,930,2.1999999999999998e-11,0.0014,0.031142999999999997,0.0014,0.099127,0.6582954,0.0014,0.0014,2.3709999999999998e-05,1.463e-02,2.205e-09
817,10,99,1,1,1,1,7,930,2.1999999999999998e-11,0.6948367999999999,0.0090482,0.0846804,0.0014,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.550e-02,2.109e-09
1,1,1,338,43,545,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.2877826,0.0370916,0.46369119999999997,0.0014,2.3709999999999998e-05,1.595e-02,2.104e-09
389,1,1,1,514,1,23,7,930,2.1999999999999998e-11,0.3311224,0.0014,0.0014,0.0014,0.4373474,0.0014,0.020095599999999998,2.3709999999999998e-05,1.591e-02,2.030e-09
704,1,1,187,1,35,1,7,930,2.1999999999999998e-11,0.5988094,0.0014,0.0014,0.15946280000000002,0.0014,0.0302932,0.0014,2.3709999999999998e-05,1.695e-02,2.059e-09
1,1,478,1,40,408,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.40675459999999997,0.0014,0.0345422,0.3472686,0.0014,2.3709999999999998e-05,1.684e-02,2.080e-09
43,1,877,1,1,1,6,7,930,2.1999999999999998e-11,0.0370916,0.0014,0.7458248,0.0014,0.0014,0.0014,0.0056489999999999995,2.3709999999999998e-05,1.456e-02,2.242e-09
519,1,400,1,1,7,1,7,930,2.1999999999999998e-11,0.44159639999999994,0.0014,0.3404702,0.0014,0.0014,0.006498799999999999,0.0014,2.3709999999999998e-05,1.721e-02,1.989e-09
1,1,628,253,1,1,45,7,930,2.1999999999999998e-11,0.0014,0.0014,0.5342246,0.2155496,0.0014,0.0014,0.0387912,2.3709999999999998e-05,1.750e-02,2.081e-09
1,392,1,1,14,520,1,7,930,2.1999999999999998e-11,0.0014,0.33367179999999996,0.0014,0.0014,0.0124474,0.4424462,0.0014,2.3709999999999998e-05,1.570e-02,2.070e-09
1,19,1,1,528,379,1,7,930,2.1999999999999998e-11,0.0014,0.0166964,0.0014,0.0014,0.4492446,0.3226244,0.0014,2.3709999999999998e-05,1.723e-02,2.135e-09
1,859,25,1,42,1,1,7,930,2.1999999999999998e-11,0.0014,0.7305284000000001,0.021795199999999997,0.0014,0.0362418,0.0014,0.0014,2.3709999999999998e-05,1.504e-02,2.184e-09
1,1,1,1,28,80,818,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.0014,0.0243446,0.06853420000000002,0.6956866,2.3709999999999998e-05,1.456e-02,2.335e-09
27,1,1,6,893,1,1,7,930,2.1999999999999998e-11,0.0234948,0.0014,0.0014,0.0056489999999999995,0.7594216,0.0014,0.0014,2.3709999999999998e-05,1.448e-02,2.327e-09
1,387,1,8,531,1,1,7,930,2.1999999999999998e-11,0.0014,0.3294228,0.0014,0.007348599999999999,0.451794,0.0014,0.0014,2.3709999999999998e-05,1.595e-02,2.066e-09
1,1,168,1,1,37,721,7,930,2.1999999999999998e-11,0.0014,0.0014,0.1433166,0.0014,0.0014,0.0319928,0.613256,2.3709999999999998e-05,1.444e-02,2.221e-09
303,38,1,585,1,1,1,7,930,2.1999999999999998e-11,0.2580396,0.0328426,0.0014,0.4976832,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.530e-02,2.021e-09
1,265,1,6,655,1,1,7,930,2.1999999999999998e-11,0.0014,0.2257472,0.0014,0.0056489999999999995,0.5571691999999999,0.0014,0.0014,2.3709999999999998e-05,1.500e-02,2.110e-09
642,1,1,241,1,43,1,7,930,2.1999999999999998e-11,0.5461218,0.0014,0.0014,0.205352,0.0014,0.0370916,0.0014,2.3709999999999998e-05,1.744e-02,2.033e-09
44,714,1,1,1,168,1,7,930,2.1999999999999998e-11,0.0379414,0.6073074,0.0014,0.0014,0.0014,0.1433166,0.0014,2.3709999999999998e-05,1.643e-02,2.098e-09
1,18,827,1,1,1,81,7,930,2.1999999999999998e-11,0.0014,0.015846600000000002,0.7033348,0.0014,0.0014,0.0014,0.069384,2.3709999999999998e-05,1.535e-02,2.195e-09
43,1,1,1,1,173,710,7,930,2.1999999999999998e-11,0.0370916,0.0014,0.0014,0.0014,0.0014,0.14756560000000002,0.6039082,2.3709999999999998e-05,1.475e-02,2.218e-09
1,1,522,1,2,1,402,7,930,2.1999999999999998e-11,0.0014,0.0014,0.4441458,0.0014,0.0022498,0.0014,0.34216979999999997,2.3709999999999998e-05,1.661e-02,2.102e-09
313,1,589,1,1,1,24,7,930,2.1999999999999998e-11,0.2665376,0.0014,0.5010823999999999,0.0014,0.0014,0.0014,0.0209454,2.3709999999999998e-05,1.593e-02,2.012e-09
278,1,619,1,1,29,1,7,930,2.1999999999999998e-11,0.2367946,0.0014,0.5265764,0.0014,0.0014,0.0251944,0.0014,2.3709999999999998e-05,1.569e-02,2.036e-09
