Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
55,17,1,42,10,20,6,145,2.783e-12,0.0472892,0.014996800000000001,0.0014,0.0362418,0.0090482,0.017546199999999998,3.04e-6,2.841e-03,1.454e-09
7,10,1,29,76,22,6,145,2.783e-12,0.006498799999999999,0.0090482,0.0014,0.0251944,0.06513500000000001,0.0192458,3.04e-6,2.945e-03,1.470e-09
52,6,57,1,9,20,6,145,2.783e-12,0.044739799999999996,0.0056489999999999995,0.0489888,0.0014,0.0081984,0.017546199999999998,3.04e-6,2.887e-03,1.459e-09
46,3,24,14,51,7,6,145,2.783e-12,0.039640999999999996,0.0030995999999999997,0.0209454,0.0124474,0.04389,0.006498799999999999,3.04e-6,2.895e-03,1.458e-09
9,54,3,34,15,30,6,145,2.783e-12,0.0081984,0.0464394,0.0030995999999999997,0.029443399999999998,0.0132972,0.0260442,3.04e-6,2.852e-03,1.456e-09
24,10,44,29,32,6,6,145,2.783e-12,0.0209454,0.0090482,0.0379414,0.0251944,0.027743800000000002,0.0056489999999999995,3.04e-6,2.983e-03,1.471e-09
4,47,28,18,15,33,6,145,2.783e-12,0.0039494,0.0404908,0.0243446,0.015846600000000002,0.0132972,0.0285936,3.04e-6,2.854e-03,1.462e-09
23,73,13,4,7,25,6,145,2.783e-12,0.020095599999999998,0.0625856,0.0115976,0.0039494,0.006498799999999999,0.021795199999999997,3.04e-6,2.851e-03,1.460e-09
17,23,16,23,24,42,6,145,2.783e-12,0.014996800000000001,0.020095599999999998,0.014147,0.020095599999999998,0.0209454,0.0362418,3.04e-6,2.778e-03,1.462e-09
11,3,31,19,31,50,6,145,2.783e-12,0.009898,0.0030995999999999997,0.026893999999999998,0.0166964,0.026893999999999998,0.0430402,3.04e-6,2.785e-03,1.470e-09
16,16,11,38,27,37,6,145,2.783e-12,0.014147,0.014147,0.009898,0.0328426,0.0234948,0.0319928,3.04e-6,2.812e-03,1.451e-09
18,10,21,16,34,46,6,145,2.783e-12,0.015846600000000002,0.0090482,0.018396,0.014147,0.029443399999999998,0.039640999999999996,3.04e-6,2.775e-03,1.452e-09
37,23,42,7,33,3,6,145,2.783e-12,0.0319928,0.020095599999999998,0.0362418,0.006498799999999999,0.0285936,0.0030995999999999997,3.04e-6,2.962e-03,1.461e-09
